word,freq,,,
SI, SI,,,
SI, SI,,,
ANTES, PASADO,,,
AH SÍ, HUMMM,,,
FUE-con otro, a otro lado,,,
MIRANDO,1,,,
MIRANDO UNO EN EL OTRO,1,,,
MIRANDO( A SU MADRE),1,,,
MIRAR ,1,,,
MIRAR/ FIJAR,1,,,
MIRO,1,,,
MONTÓN,1,,,
MORIR/  FALLECER,1,,,
MUCHA,1,,,
MUCHAS-MUCHAS,1,,,
MUCHOS/ MONTÓN,1,,,
MUJ----HOMBRE,1,,,
MUJER - MUJER,1,,,
MUJERES,1,,,
MUSCULOSO,1,,,
MUY,1,,,
MUY BIEN!,1,,,
MÁS O MENOS / APROXIMADAMENTE,1,,,
MÁS O MENOS/ APROXIMADAMENTE,1,,,
MÁS O MENOS/ APROXIMADO,1,,,
MÁS/ OTRA VEZ,1,,,
MÁS/ PLUS,1,,,
MÍ,1,,,
MÍ - MÍ - MÍ,1,,,
MÍA,1,,,
N-I-N??,1,,,
NACER - NACER,1,,,
NACER NACER,1,,,
NADA DE NADA,1,,,
NADA MÁS O TERMINAR ,1,,,
NADA/ NADIE,1,,,
NADA?,1,,,
NADIE,1,,,
NAVEGANDO EN BOTE,1,,,
NAVIDAD - DICIEMBRE,1,,,
NECESITAR,1,,,
NIÑOS(AS),1,,,
NO ,1,,,
NO (ASL),1,,,
NO (LSP),1,,,
NO CABEN/ NO MEDIMOS,1,,,
NO ENTENDER,1,,,
NO ENTIENDEN,1,,,
NO ENTIENDO,1,,,
NO HAGO CASO Ó YA NO IMPORTA,1,,,
NO HAY NADA/ VACÍO,1,,,
NO IMPORTA ,1,,,
NO NO,1,,,
NO SABE (LA DUDA),1,,,
NO SABER,1,,,
NO SABÍAS - NO SABÍAS,1,,,
NO SE DARÁ CUENTA,1,,,
NO SÉ/ QUIZÁS,1,,,
NO- NO,1,,,
NO- NO- NO,1,,,
NO-GUSTAR,1,,,
NO-NO-NO,1,,,
NO/NADA,1,,,
NOMBRE/ SE LLAMA,1,,,
NOSOTROS,1,,,
NUBE,1,,,
NUBE/ CLIMA,1,,,
NUNCA,1,,,
NUNCA O NADA,1,,,
O-K,1,,,
O-K?,1,,,
OBJETIVO/ PROPOSITO,1,,,
OCUPADA,1,,,
OCURRIÓ O PASÓ?,1,,,
OH,1,,,
OH - OH,1,,,
OH QUE RARO,1,,,
OH SI,1,,,
OK-OK-OK,1,,,
ORO,1,,,
OTRA,1,,,
OTRA PERSONA O A LA EMISORA,1,,,
OTRA VEZ TÚ,1,,,
OTRA VEZ? MÁS?,1,,,
OTRA VEZ???,1,,,
OTRO (A),1,,,
OTRO UNO,1,,,
OTRO(A),1,,,
OYE MIRA,1,,,
OYE/ PRESTAME ATENCIÓN,1,,,
P-D,1,,,
P-E-D-R-??,1,,,
P-E-D-R-E,1,,,
P-E-D-R-E-D,1,,,
P-E-D-R-OOOOOOOOOOO,1,,,
P-I-E-R-D-O,1,,,
PADRES,1,,,
PANZÓN / CON ROLLOS,1,,,
PANZÓN/ GORDO,1,,,
PARA,1,,,
PARA/ POR,1,,,
PARADA,1,,,
PARAGUA?,1,,,
PASAR ALGO,1,,,
PASE,1,,,
PASEAR BICICLETA,1,,,
PASÓ ALGO?? (ASL),1,,,
PEDIR,1,,,
PELEAR,1,,,
PELEAR O DISCUTIR,1,,,
PELEAR/DISCUTIR,1,,,
PENSANDO,1,,,
PENSANDO O RAZONANDO,1,,,
PENSANDO/ MEDITANDO/ REFLEXIONANDO,1,,,
PENSAR O CABEZA,1,,,
PENSAR O RECORDAR,1,,,
PENSAR O SOSPECHAR,1,,,
PENSAR/ RAZONAR,1,,,
PENSAR/ RAZONAR/ REFLEXIONAR,1,,,
PENSAR/ RAZONAR/ REFLEXIONAR/ MEDITAR,1,,,
PENSAR/PENSÉ,1,,,
PEQUEÑA O NIÑA,1,,,
PEQUEÑA(O),1,,,
PERDER,1,,,
PERDÓN,1,,,
PERFECTO?,1,,,
PERMISO ,1,,,
PERMITIR,1,,,
PERO? ENTONCES?,1,,,
PERSEGUIR,1,,,
PERSIGUEN,1,,,
PERSONA BAJA DEL BOTE,1,,,
PEZ,1,,,
PIENSA,1,,,
PIENSA QUE?,1,,,
PIERNA DERECHO?,1,,,
PIERNA IZQUIERDO,1,,,
PLATA,1,,,
POCO/ CASI,1,,,
POLICÍAS,1,,,
PONER ACUERDO,1,,,
POR -POR-PORQUE,1,,,
POR AHÍ ABAJO,1,,,
POR LA CABEZA,1,,,
PORQUÉ? - PORQUÉ?,1,,,
PREGUNTAR/ AVERIGUAR,1,,,
PREGUNTARON,1,,,
PREGUNTO PUES,1,,,
PRIMERO ,1,,,
PROMETER,1,,,
PRONTO/ EN BREVE,1,,,
PROXIMA,1,,,
PROXIMO O DESPUES,1,,,
PRÓPOSITO/ OBJETIVO,1,,,
PUCHA O ME ARREPIENTO,1,,,
PUERTA,1,,,
PUÉS/ BUENO,1,,,
QUDARSE,1,,,
QUE IMPORTA,1,,,
QUE PASÓ,1,,,
QUE PIENSA?,1,,,
QUE SUCEDIÓ? O QUE PASÓ?,1,,,
QUE SUCEDIÓ? O QUE SUCEDIÓ?,1,,,
QUE TE PASA!,1,,,
QUE TE PASÓ?,1,,,
QUE? AH,1,,,
QUIEN,1,,,
QUIERE,1,,,
QUINTO,1,,,
QUIZÁS,1,,,
QUIZÁS Ó TAL VEZ,1,,,
QUÉ ES ESTO? QUÉ TE PASÓ? Y AHORA QUÉ? ,1,,,
QUÉ ESTÁ PASANDO?,1,,,
QUÉ PASAS?,1,,,
QUÉ PASÓ,1,,,
QUÉ PASÓ/ QUE SUCEDIÓ,1,,,
QUÉ PASÓ? ,1,,,
QUÉ PASÓ?/ QUÉ SUCEDIÓ?,1,,,
QUÉ SUCEDER,1,,,
QUÉ SUCEDER?,1,,,
QUÉ SUCEDIÓ? O QUE PASÓ?,1,,,
QUÉ/ OYE,1,1,,
QUÉ? ,1, SI,1,
QUÉ? O CUÁL?,1,,,
QUÉ? O DÓNDE?,1,,,
QUÉ? QUÉ?,1,,,
R-A-F-A-E-L-Y,1,,,
R-A-Q-P-F-E-F-A-E-L,1,,,
R-I-C???,1,,,
R-X,1,,,
RAZONAR,1,,,
RAZONAR/ REFLEXIONAR,1,,,
RECIENTEMENTE?,1,,,
RECUERDAS???,1,,,
RECUERDO,1,,,
REFLECIONA/ RAZONANDO,1,,,
REGRESAR,1,,,
REGRESAR ,1,,,
REGRESAR(ESPAÑOL SIGNADO),1,,,
REGRESO,1,,,
REPARTIR,1,,,
REPETIR,1,,,
REPETIR? OTRA VEZ?,1,,,
RESPONDER,1,,,
RESUMÉN,1,,,
RETROCEDO/ VUELVO,1,,,
REVERENCIA O TIMIDA,1,,,
RICA,1,,,
RICO / MILLONARIO,1,,,
RICO O PITUCO,1,,,
RICO/ ADINERADO,1,,,
RIQUEZA/ RICO,1,,,
RODAR/ DAR VUELTAS,1,,,
RODILLA IZQUIERDO,1,,,
RODILLA O PIERNA DERECHA,1,,,
RODILLA/ PIERNA,1,,,
ROGAR,1,,,
ROPA,1,,,
ROPA PARA LLUVIA,1,,,
ROPA/ CASACA,1,,,
ROPAS,1,,,
RÁPIDO - APURARSE,1,,,
S-I,1,,,
S-O,1,,,
S-U-E ,1,,,
SABE (LSP),1,,,
SALE,1,,,
SALE A TROTAR,1,,,
SALIMOS/ SALIR,1,,,
SALIMOS?,1,,,
SALIR (ASL),1,,,
SALIR A CAMINAR,1,,,
SALIR/ AFUERA(ASL),1,,,
SALIR/ IR (SE FUE),1,,,
SALIR/ VAMOS,1,,,
SALUDAN,1,,,
SANA,1,,,
SE ACABÓ/ SE TERMINÓ,1,,,
SE ACERCAN,1,,,
SE ACERCARON,1,,,
SE ACERCÓ,1,,,
SE ACERCÓ O SE ENCONTRÓ,1,,,
SE CASÓ,1,,,
SE CAYÓ VOLANDO,1,,,
SE COMPARTE,1,,,
SE DOBLO,1,,,
SE ENCUENTRAN,1,,,
SE ENFERMÓ (ASL),1,,,
SE FREGÓ,1,,,
SE FUE OTRO CAMINO,1,,,
SE FUERON A CAMINAR,1,,,
SE LEVANTA,1,,,
SE REPITE,1,,,
SE RESBALA,1,,,
SE SEPARA,1,,,
SE SIENTE INCÓMODA / CON DUDA,1,,,
SEIS,1,,,
SEIS - SEIS,1,,,
SEXTO,1,,,
SI - SI,1,,,
SI?,1,,,
SIEMPRE,1,,,
SIGNO DE EXCLAMACION O SIGNO DE INTERROGACION,1,,,
SILENCIO,1,,,
SIN DARSE CUENTA,1,,,
SOLA,1,,,
SOLA/ UNA,1,,,
SOLTERA/SIEMPRE,1,,,
SOMBRERO,1,,,
SOMOS DOS,1,,,
SOMOS DOS/ AMBOS,1,,,
SON DOS,1,,,
SONREIR,1,,,
SORPRENDIDA/ SE ASOMBRA,1,,,
SORPRENDIDOS,1,,,
SORPRESA,1,,,
SOSPECHA,1,,,
SOSPECHAR,1,,,
SOSPECHO Ó IMAGINO,1,,,
SOÑAR O VISION,1,,,
SOÑAR/ VISION,1,,,
SUCEDER,1,,,
SUCEDIÓ/ OCURRIÓ/ SE ACCIDENTÓ,1,,,
SUERTE Ó CASUALIDAD,1,,,
SULUDOS,1,,,
SUPONE/ SOSPECHA,1,,,
SUPONGO/ SOSPECHO,1,,,
SÍ - SÍ,1,,,
SÍ - SÍ - SÍ,1,,,
SÍ AHÍ VEN AHÍ,1,,,
SÍ PSL,1,,,
TAL VEZ,1,,,
TALVEZ,1,,,
TALVEZ/ QUIZÁS,1,,,
TAMAÑO/ MEDIDA,1,,,
TANTO DINERO,1,,,
TE GUSTAS A ESE,1,,,
TE QUEDAS,1,,,
TE/ TÚ,1,,,
TE/TÚ,1,,,
TELEFONO,1,,,
TEN CUIDADO,1,,,
TENER???,1,,,
TENGO IDEA,1,,,
TERMINAR O DIJO NADA MÁS,1,,,
TERMINAR/ FIN,1,,,
TERMINARON,1,,,
TERMINÉ-NADA MÁS,1,,,
TI,1,,,
TIEMPO DESPUÉS,1,,,
TIENE,1,,,
TIMIDA/ CON ROCHE,1,,,
TIRAR O GOLPEAR,1,,,
TITULO,1,,,
TITULO/ TEMA,1,,,
TOCA,1,,,
TOCAR,1,,,
TODO JUNTOS,1,,,
TONTA SOY/ TORPE,1,,,
TONTO,1,,,
TORPE,1,,,
TRANQUILO,1,,,
TRANQUILO/ SASTIFECHO,1,,,
TRANSPARENTE,1,,,
TRATANDO DE DESCIFRAR,1,,,
TRES? NUEVE?,1,,,
TROTAR LIGERO,1,,,
TU Y YO/ NOSOTROS,1,,,
TU/ TÚ,1,,,
TÍMIDA,1,,,
TÍMIDA/ CON ROCHE,1,,,
TÚ Ó ÉL,1,,,
TÚ-TÚ/  ESE/ AHÍ,1,,,
TÚ/ UD,1,,,
TÚ/USTEDES,1,,,
U,1,,,
UD.,1,,,
UD/ TÚ,1,,,
UN - UNO,1,,,
UN HOMBRE,1,,,
UN/ UNA,1,,,
UN/ UNO(A),1,,,
UN? UNO?,1,,,
UNA ,1,,,
UNA MUJER,1,,,
UNA/ AHÍ,1,,,
UNA/ ELLA,1,,,
UNO SE FUE,1,,,
UNO(A),1,,,
UNO/ EL/ ELLA,1,,,
UY!,1,,,
VA - FUE,1,,,
VACÍO O DESNUDO,1,,,
VAMOS/ SALIMOS,1,,,
VARIOS,1,,,
VAS,1,,,
VAYASE - VAYA,1,,,
VENDADO,1,,,
VER A TRAVES,1,,,
VER VISION,1,,,
VER/ MIRAR/FIJAR,1,,,
VERDAD,1,,,
VERDAD/ DE VERÁS,1,,,
VERGONZAR,1,,,
VERGUENZA,1,,,
VETE,1,,,
VIENEN,1,,,
VIENTO,1,,,
VISIONES,1,,,
VISITAR,1,,,
VISIÓN/ SOÑAR ,1,,,
VIÓ O SE FIJÓ,1,,,
VIÓ Ó MIRÓ,1,,,
VIÓ/ FIJÓ/ MIRÓ,1,,,
VIÓ/ MIRÓ ,1,,,
VOLAR,1,,,
VOY/ SALIR,1,,,
YA ESTÁ/ TERMINAR,1,,,
YA NO,1,,,
YA SE,1,,,
YA/ AGUARDA,1,,,
YA/ENTONCES,1,,,
YA? NADA MÁS?,1,,,
YA? O TERMINASTE?,1,,,
YO MISMA,1,,,
YO MUJER,1,,,
YO- YO,1,,,
YO/ MI,1,,,
YO/ME,1,,,
ÁRBOL,1,,,
ÉSTE (A),1,,,
ÉSTE/ AHÍ,1,,,
Ó ,1,,,
