word,freq,,,
SI, SI,,,
SI, SI,,,
ANTES, PASADO,,,
AH SÍ, HUMMM,,,
FUE-con otro, a otro lado,,,
NO ENTIENDE,3,,,
NO SABE,3,,,
NORMAL,3,,,
P-E-D-R-O,3,,,
PAPÁ,3,,,
PEQUEÑA,3,,,
PEQUEÑO/ CHICO,3,,,
PERMISO,3,,,
PODEMOS,3,,,
PREGUNTAS,3,,,
PREGUNTO,3,,,
PROBAR,3,,,
PUEDO,3,,,
QUERER/ DESEAR,3,,,
QUIÉN?,3,,,
QUÉ HACE?,3,,,
RECORDAR,3,,,
RÁPIDO,3,,,
SALIR/ IR,3,,,
SALIR/ SE FUE,3,,,
SE FUE/ SALIR,3,,,
SE FUE/ SALIÓ,3,,,
SE LLAMA/ NOMBRE,3,,,
SI,3,,,
SOLTERA,3,,,
SÉ,3,,,
SÍ?,3,,,
TENGO,3,,,
TIEMPO,3,,,
UN,3,,,
UN(A),3,,,
VACÍO,3,,,
VENIR,3,,,
VEO,3,,,
VISION,3,,,
Y,3,,,
YO-YO,3,,,
ÉL/ ESE,3,,,
1,2,,,
1.6,2,,,
1.60 C-M,2,,,
1.96 C-M,2,,,
???,2,,,
ABIERTA,2,,,
ABRIGAR,2,,,
ABURRIDA,2,,,
ADIVINA/BRUJA,2,,,
AGUA,2,,,
AH!,2,,,
AIRE/ VIENTO,2,,,
ALLÁ/ AHÍ,2,,,
ALLÍ,2,,,
AMABLE,2,,,
AMOR,2,,,
ANIMAR/ DESEAR,2,,,
ARRODILLADO,2,,,
ARRODILLARSE/ POSTRARSE,2,,,
ASI FUE,2,,,
ATRÁS,2,,,
AY PUÉS,2,,,
AYY,2,,,
BAJAR ESCALERA,2,,,
BAJITO,2,,,
BODA/ MATRIMONIO,2,,,
BOLA(DE CRISTAL),2,,,
BUSCA,2,,,
BUSCANDO,2,,,
CAE,2,,,
CAE NIEVE,2,,,
CAMBIAR,2,,,
CAMINAR JUNTOS,2,,,
CARA/ ROSTRO,2,,,
CARGANDO MOCHILA,2,,,
CARPA,2,,,
CHAU/ DESPEDIR,2,,,
CHIQUITO,2,,,
CHOMPA,2,,,
CONVERSAR/ COMUNICAR,2,,,
CORRER LENTO,2,,,
CUIDATE,2,,,
DA PASOS,2,,,
DESAPARECIDO,2,,,
DESCUBRIR,2,,,
DESPEDIR,2,,,
DESPEDIR/ CHAU,2,,,
DESPEDIR/CHAU,2,,,
DESPUES,2,,,
DICIEMBRE,2,,,
DIFERENTE,2,,,
DUDA,2,,,
DUELE,2,,,
EL OTRO,2,,,
ELEGANTE,2,,,
EMPACAR,2,,,
EMPEZAR ,2,,,
ENCONTRAR ,2,,,
ENCONTRARSE O ACERCARSE,2,,,
ENCUENTRA,2,,,
ENFERMA (EN ASL),2,,,
ESA/LA,2,,,
ESCUCHAR,2,,,
ESE/ EL,2,,,
EXPLICO,2,,,
FIEBRE,2,,,
FIN/ TERMINAR,2,,,
FLACA,2,,,
FLACO/ DELGADO,2,,,
FRACTURA/ ROMPER,2,,,
FREGADA,2,,,
FRIO,2,,,
GRANDES,2,,,
HABLANDO,2,,,
HAY,2,,,
HINCHAZÓN,2,,,
HOY,2,,,
HUMMM SÍ,2,,,
HUMMMM,2,,,
HUMMMM?,2,,,
IGUAL/ ESE MISMO,2,,,
IMAGINANDO,2,,,
IR/ FUE,2,,,
IR/ SE FUE,2,,,
IR/SALIR,2,,,
JNTOS,2,,,
JOVEN,2,,,
JOVENES,2,,,
LA/ ESA,2,,,
LIMPIO/ BONITO/ NUEVO,2,,,
LINDO,2,,,
LINTERNA,2,,,
LISTO,2,,,
LLUEVE CON FUERZA,2,,,
LOS DOS,2,,,
MAMÁ(LSP),2,,,
MANSION,2,,,
MATRIMONIO/ BODA,2,,,
MAÑANA,2,,,
ME DICE,2,,,
ME PREGUNTA,2,,,
MES,2,,,
MESA,2,,,
MIDE,2,,,
MISMA,2,,,
MUDAS,2,,,
MULETAS,2,,,
MÁS,2,,,
MÁS O MENOS,2,,,
NADA MÁS/ FIN,2,,,
NIEVE,2,,,
NO - NO -NO,2,,,
NO SÉ/ NO SABEMOS,2,,,
NO-NO,2,,,
NOO,2,,,
NOTICIAS,2,,,
NÚMERO,2,,,
OCUPADO,2,,,
OK-OK,2,,,
PACIENCIA,2,,,
PARARSE,2,,,
PASÓ,2,,,
PEQUEÑITO,2,,,
PERIÓDICO,2,,,
PERSEGUIR/ SEGUIR,2,,,
PERSONAS,2,,,
PESCAR,2,,,
PLATA/ DINERO,2,,,
POCO,2,,,
POLICIAS,2,,,
POLICÍA,2,,,
PROBLEMA,2,,,
PRUEBA,2,,,
PUEDEN,2,,,
QUE HACER?,2,,,
QUEDAR ,2,,,
QUIZÁS/ TAL VEZ,2,,,
QUÉ HACER?,2,,,
QUÉ SUCEDIÓ?/ QUÉ PASÓ?,2,,,
RAZONANDO,2,,,
RECUPERAR/ SANAR,2,,,
RESUMEN,2,,,
RICO,2,,,
SALES,2,,,
SALIMOS,2,,,
SANAR,2,,,
SE ACERCO,2,,,
SE QUEDA,2,,,
SENTARSE,2,,,
SENTIR FRÍO,2,,,
SENTIR?,2,,,
SIENTE FELICIDAD,2,,,
SIN ENTENDER,2,,,
SUBIERON,2,,,
SUERTE,2,,,
SÍ-SÍ,2,,,
TAMBIEN,2,,,
TAMBIÉN,2,,,
TE,2,,,
TE DIJE,2,,,
TERMINÉ,2,,,
TIENES,2,,,
TIRAR,2,,,
TODA,2,,,
TRABAJAR,2,,,
TRABAJO,2,,,
TRANQUILA,2,,,
TRISTEZA,2,,,
TROTAR/ CORRER,2,,,
TÍ/ TU,2,,,
UN/UNA,2,,,
UNA/ UNO,2,,,
UNA/LA,2,,,
UY,2,,,
UYY,2,,,
VESTIDO,2,,,
VIENE,2,,,
VIENTO MUY FUERTE,2,,,
YA ,2,,,
YA ESTÁ,2,,,
YA PUES,2,,,
YO - YO,2,,,
YO/ ME,2,,,
ÉL/ ELLA,2,,,
ÉSTA,2,,,
" ""YO""",1,,,
 AY QUE MIEDO,1,,,
 NO SABER,1,,,
AH YA,1,,,
AH,1,,,
AHÍ Ó TRABAJO,1,,,
"SE MALOGRA O ""ESTÁ MAL""",1,,,
1-8-CM,1,,,
1-C-0-CM,1,,,
1.6,1,,,
1.96,1,,,
160,1,,,
18.8,1,,,
190,1,,,
7-Feb,1,,,
5,1,,,
A TREVES,1,,,
A TÍ/ TE,1,,,
A ÉL,1,,,
AAAH,1,,,
AAAH!,1,,,
ABIERTA ABIERTA,1,,,
ABRIGARSE,1,,,
ABURRIDO,1,,,
ACCIDENTALMENTE,1,,,
ACCIDENTALMENTE( ASL) Ó POR ERROR,1,,,
ACCIDENTALMENTE/ COMETER ERROR,1,,,
ACCIDENTALMENTE/ EQUIVOCAR,1,,,
ACCIDENTE,1,,,
ACCIDENTE/ ATROPELLAR,1,,,
ACCIDENTE/ SUCEDIÓ,1,,,
ACCIÓN/ HACER,1,,,
ACEPTAR,1,,,
ACEPTARON,1,,,
ACERCAR,1,,,
ACERCAR O ENCONTRAR ,1,,,
ACOMPAÑAN,1,,,
ACORDAR,1,,,
ACUERDOS,1,,,
ADINERADO/ RICO,1,,,
ADIÓS Ó HOLA,1,,,
AFUERA O SALIR,1,,,
AGARRAR,1,,,
AGUARDA,1,,,
AGUARDA/ ESPERA,1,,,
AGUARDA/ESPERAR,1,,,
AH EXACTO/ CIERTO,1,,,
AH POR AHÍ,1,,,
AH PUES/ AY PUES,1,,,
AH SORPRESA,1,,,
AH SÍ ,1,,,
AH SÍ/ AH YA,1,,,
AH YA ENTENDÍ,1,,,
AH YA PUES,1,,,
AH YA VEO,1,,,
AH YA...SÍ,1,,,
AH YA/ AJÁ,1,,,
AH?,1,,,
AH???,1,,,
AHHH,1,,,
AHI ABAJO,1,,,
AHORA,1,,,
AHÍ ,1,,,
AHÍ DOS,1,,,
AHÍ O ELLOS,1,,,
AHÍ/ ESE,1,,,
AHÍ/ ÉL,1,,,
AHÍ? ÉL?,1,,,
AJEMMMM,1,,,
AJÁ,1,,,
ALGUNAS VECES,1,,,
ALISTAR,1,,,
ALLA,1,1,,
ALLI,1,,,
ALREDEDOR/ DANDO VUELTAS,1,,,
ALTO( ASL),1,,,
ALTURA,1,,,
ALÓ,1,,,
AMA,1,,,
AMBOS ,1,,,
AMBOS (ASL),1,,,
AMIGA (O),1,,,
AMIGAS (OS),1,,,
AMIGAS(OS),1,,,
AMIGO(A),1,,,
ANDAS,1,,,
ANIMADA,1,,,
ANIMAR/ ALISTARSE,1,,,
ANIMAR/ CONTENTA,1,,,
ANTES/ HACE TIEMPO,1,,,
ANTIGUA,1,,,
ANUBLAR/ HUMO DE VISIONES CON BOLA,1,,,
APARECE (ASL),1,,,
APARTE,1,,,
APRENDER,1,,,
APRESURAR/ RÁPIDO,1,,,
ARODILLADO,1,,,
ARRODILLAR,1,,,
ARRODILLAR/ POSTRAR,1,,,
ASÍ?,1,,,
AUTOMOVIL,1,,,
AVERIGUAR,1,,,
AVISAR/ DECIR,1,,,
AY NO,1,,,
AYA,1,,,
AYUDAR/COMPARTIR,1,,,
AYUDARME,1,,,
BAJARON,1,,,
BAÑARSE,1,,,
BESITO DE SALUDOS,1,,,
BICICLETA,1,,,
BIEN BIEN BIEN,1,,,
BIEN O BUENO,1,,,
BIEN/ BUENO,1,,,
BIEN? BONITO?,1,,,
BLA BLA BLA,1,,,
BODA,1,,,
BODA / MATRIMONIO,1,,,
BOLA ,1,,,
BOLA (DE CRISTAL),1,,,
BOLA-IMAGEN-verbo,1,,,
BONITA,1,,,
BONITO,1,,,
BONITO(A),1,,,
BOTAR/FUERA/APARTAR,1,,,
BOTE NAVEGANDO,1,,,
BRAZO,1,,,
BRAZOS,1,,,
BRILLAR,1,,,
